participant_id,feedback_condition,got_feedback,trial_order,trial_sequence,correct,confidence,more_readable_is_human,reaction_time_ms,reaction_time_log2,correctness_total,age,gender,education_ordinal,ai_usage_ordinal,reading_disorder,stylometric_distance,dim1_difference,dim2_difference,dim3_difference,dim4_difference,dim5_difference,dim6_difference,dim7_difference,dim8_difference
20250225143240333,no_feedback,False,1,1,0,5,0,53565.0,15.709003014194584,10,20,male,5,4,false,4.306939347021797,-0.44026845340000004,0.8301483639,0.6656234007999997,0.9704466858,0.7814808732,3.1771932107,1.7375678487000001,1.5992221728
20250225143240333,no_feedback,False,2,2,0,5,0,31934.0,14.962805653369742,10,20,male,5,4,false,6.010064449991217,1.151828659,-0.21934430559999998,-0.28871842,-2.1705079068,-2.5112024021,-1.4533523129,3.7673363415,-2.7093167127
20250225143240333,no_feedback,False,4,3,1,2,0,16515.0,14.011489349172887,10,20,male,5,4,false,4.84552414889218,-0.9634499316,-0.8202885311,0.6091589201,0.211588887,-0.10177709410000002,-0.2405341561,1.9143087037999997,-4.2106243854
20250225143240333,no_feedback,False,5,4,1,1,0,26541.0,14.695935108504049,10,20,male,5,4,false,6.60444540151014,0.33811499459999994,-0.40808240419999997,-1.750292029,1.5495131803,0.46959809769999994,4.570766470000001,4.0732532247,-0.4117188986
20250225143240333,no_feedback,False,6,5,1,3,0,68651.0,16.066993114991504,10,20,male,5,4,false,3.843304153985565,-0.7622559318,0.3964906601,3.48945335,-0.3786928921,-0.4236087743,0.5186405108999999,0.1814620975,1.1098171095
20250225143240333,no_feedback,False,7,6,1,6,0,28745.0,14.811023410300866,10,20,male,5,4,false,3.2968282277852072,0.40410037879999994,0.42223687230000007,0.784596575,0.2882095859,-0.7535813035000001,1.839725863,2.3757969324,0.4816135630999998
20250225143240333,no_feedback,False,8,7,0,7,0,28521.0,14.799736945824545,10,20,male,5,4,false,2.886461699111872,-1.9097551622,-0.4897728199,-0.23441079530000009,1.5322593782,-0.2502981734,0.12644233410000005,-0.9151461147000002,-1.0610006936999998
20250225143240333,no_feedback,False,9,8,0,5,1,26832.0,14.711666973564347,10,20,male,5,4,false,4.736522789598202,1.0869526225000001,-0.5578968785,0.6293992236,-3.8023666544,-1.0338492697000001,2.1456287624,-0.48148490800000004,-0.42825557029999994
20250225143240333,no_feedback,False,10,9,0,1,0,32534.0,14.989660589736523,10,20,male,5,4,false,4.983485514609957,-0.22961126499999995,-0.11907969010000008,2.0121195223,0.1693578068,1.3391247539,4.0044383226999996,1.3753480585,-0.9851679355
20250225143240333,no_feedback,False,11,10,0,5,0,28622.0,14.804836865355092,10,20,male,5,4,false,4.281954978105396,1.6312296471,0.10845390739999994,2.6022554257,-1.119733334,-0.8530634179000001,0.9176339853,2.3647669019,0.6892301188999999
20250225143240333,no_feedback,False,12,11,1,2,0,14701.0,13.843626673792848,10,20,male,5,4,false,3.9683132083143735,0.24811369770000002,-0.9861712074,-0.050804048200000285,1.178503263,-1.2159052341,-0.8808313346,1.3129427285,-3.0567722655
20250225143240333,no_feedback,False,14,12,1,5,1,33557.0,15.034326123974903,10,20,male,5,4,false,7.483487091536576,1.3527641626,0.6305518352,1.6165051790000002,-6.996368627500001,-1.0256308885,0.8457770544,0.3171041959,-0.5873133497999998
20250225143240333,no_feedback,False,15,13,1,1,0,131417.0,17.003792388067424,10,20,male,5,4,false,3.73540910696301,-0.040831112700000005,-0.412903602,1.0887442687,-0.33872699630000014,0.2560078074,3.5082450153,0.21014040660000005,0.2520763696000001
20250225143240333,no_feedback,False,16,14,1,4,0,23571.0,14.524725345792909,10,20,male,5,4,false,2.37012445429397,-0.25239663729999995,-0.021309955200000008,1.3211397871,-0.10247810720000006,-1.1115962769,1.4914291711,-0.21115109139999988,-0.5411354857999999
20250225143240333,no_feedback,False,17,15,0,6,0,25684.0,14.648582283363735,10,20,male,5,4,false,1.9194533439466666,-0.3148660366,-0.5049446711000001,0.9309988709,-0.7283141003,-0.4630584663,1.2157168543,0.29556189969999996,-0.39146343610000006
